cve,cwe,vuln-description,vuln-cvssv3-base-score,vuln-cvssv3-base-score-severity,vuln-cvssv3-impact-score,vuln-cvssv3-exploitability-score,vuln-cvssv3-av,vuln-cvssv3-ac,vuln-cvssv3-pr,vuln-cvssv3-ui,vuln-cvssv3-s,vuln-cvssv3-c,vuln-cvssv3-i,vuln-cvssv3-a,vuln-technical-details-0-link,vuln-cvssv2-base-score,vuln-cvssv2-base-score-severity,vuln-cvssv2-impact-subscore,vuln-cvssv2-exploitability-score,vuln-cvssv2-additional
CVE-2016-0862,CWE-200,General Electric (GE) Industrial Solutions UPS SNMP/Web Adapter devices with firmware before 4.8 allow remote authenticated users to obtain sensitive cleartext account information via unspecified vectors.,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,Partial,None,None,Information Leak / Disclosure,4.0,MEDIUM,2.9,8.0,Allows unauthorized disclosure of information
CVE-2016-0861,CWE-77,General Electric (GE) Industrial Solutions UPS SNMP/Web Adapter devices with firmware before 4.8 allow remote authenticated users to execute arbitrary commands via unspecified vectors.,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Complete,High,High,Command Injection,9.0,HIGH,10.0,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0860,CWE-119,Buffer overflow in the BwpAlarm subsystem in Advantech WebAccess before 8.1 allows remote attackers to cause a denial of service via a crafted RPC request.,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,Complete,None,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0859,CWE-189,Integer overflow in the Kernel service in Advantech WebAccess before 8.1 allows remote attackers to execute arbitrary code or cause a denial of service (stack-based buffer overflow) via a crafted RPC request.,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Numeric Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0858,CWE-362,Race condition in Advantech WebAccess before 8.1 allows remote attackers to execute arbitrary code or cause a denial of service (buffer overflow) via a crafted request.,8.1,HIGH,5.9,2.2,Network,High,None,None,Unchanged,Complete,High,High,Buffer Errors,9.3,HIGH,10.0,8.6,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0857,CWE-119,Multiple heap-based buffer overflows in Advantech WebAccess before 8.1 allow remote attackers to execute arbitrary code via unspecified vectors.,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0856,CWE-119,Multiple stack-based buffer overflows in Advantech WebAccess before 8.1 allow remote attackers to execute arbitrary code via unspecified vectors.,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0853,CWE-200,Advantech WebAccess before 8.1 allows remote attackers to obtain sensitive information via crafted input.,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,Partial,None,None,Information Leak / Disclosure,5.0,MEDIUM,2.9,10.0,Allows unauthorized disclosure of information
CVE-2016-0852,CWE-264,Advantech WebAccess before 8.1 allows remote attackers to bypass an intended administrative requirement and obtain file or folder access via unspecified vectors.,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,Partial,None,None,"Permissions, Privileges, and Access Control",5.0,MEDIUM,2.9,10.0,Allows unauthorized disclosure of information
CVE-2016-0851,CWE-119,Advantech WebAccess before 8.1 allows remote attackers to cause a denial of service (out-of-bounds memory access) via unspecified vectors.,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,Buffer Errors,7.8,HIGH,6.9,10.0,Allows disruption of service
CVE-2016-0850,CWE-264,"The PORCHE_PAIRING_CONFLICT feature in Bluetooth in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 allows remote attackers to bypass intended pairing restrictions via a crafted device, aka internal bug 26551752.",8.8,HIGH,5.9,2.8,Adjacent,Low,None,None,Unchanged,Partial,High,High,"Permissions, Privileges, and Access Control",5.8,MEDIUM,6.4,6.5,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0849,CWE-189,"Multiple integer overflows in minzip/SysUtil.c in the Recovery Procedure in Android 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 allow attackers to gain privileges via a crafted application, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 26960931.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,Numeric Errors,7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0848,CWE-362,"Race condition in Download Manager in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 allows attackers to bypass private-storage file-access restrictions via a crafted application that changes a symlink target, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 26211054.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,Race Conditions,7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0847,CWE-264,"The Telecom Component in Android 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 allows attackers to spoof the originating telephone number of a call via a crafted application, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 26864502.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0846,CWE-264,"libs/binder/IMemory.cpp in the IMemory Native Interface in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 does not properly consider the heap size, which allows attackers to gain privileges via a crafted application, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 26877992.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0844,CWE-264,"The Qualcomm RF driver in Android 6.x before 2016-04-01 does not properly restrict access to socket ioctl calls, which allows attackers to gain privileges via a crafted application, aka internal bug 26324307.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0843,CWE-264,"The Qualcomm ARM processor performance-event manager in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 allows attackers to gain privileges via a crafted application, aka internal bug 25801197.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0842,CWE-119,"The H.264 decoder in libstagefright in Android 6.x before 2016-04-01 mishandles Memory Management Control Operation (MMCO) data, which allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, aka internal bug 25818142.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0841,CWE-119,"media/libmedia/mediametadataretriever.cpp in mediaserver in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 mishandles cleared service binders, which allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, aka internal bug 26040840.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0840,CWE-119,"Multiple stack-based buffer underflows in decoder/ih264d_parse_cavlc.c in mediaserver in Android 6.x before 2016-04-01 allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, aka internal bug 26399350.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0839,CWE-119,"post_proc/volume_listener.c in mediaserver in Android 6.x before 2016-04-01 mishandles deleted effect context, which allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, aka internal bug 25753245.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0838,CWE-119,"Sonivox in mediaserver in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 does not check for a negative number of samples, which allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, related to arm-wt-22k/lib_src/eas_wtengine.c and arm-wt-22k/lib_src/eas_wtsynth.c, aka internal bug 26366256.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0837,CWE-119,"MPEG4Extractor.cpp in libstagefright in mediaserver in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 allows remote attackers to execute arbitrary code or cause a denial of service (out-of-bounds read and memory corruption) via a crafted media file, aka internal bug 27208621.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0834,CWE-20,"An unspecified media codec in mediaserver in Android 6.x before 2016-04-01 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, aka internal bug 26220548.",8.4,HIGH,5.9,2.5,Local,Low,None,None,Unchanged,Complete,High,High,Input Validation,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0777,CWE-200,"The resend_bytes function in roaming_common.c in the client in OpenSSH 5.x, 6.x, and 7.x before 7.1p2 allows remote servers to obtain sensitive information from process memory by requesting transmission of an entire buffer, as demonstrated by reading a private key.",6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,Partial,None,None,Information Leak / Disclosure,4.0,MEDIUM,2.9,8.0,Allows unauthorized disclosure of information
CVE-2016-0714,CWE-264,"The session-persistence implementation in Apache Tomcat 6.x before 6.0.45, 7.x before 7.0.68, 8.x before 8.0.31, and 9.x before 9.0.0.M2 mishandles session attributes, which allows remote authenticated users to bypass intended SecurityManager restrictions and execute arbitrary code in a privileged context via a web application that places a crafted object in a session.",8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Partial,High,High,"Permissions, Privileges, and Access Control",6.5,MEDIUM,6.4,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2015-5313,CWE-22,"Directory traversal vulnerability in the virStorageBackendFileSystemVolCreate function in storage/storage_backend_fs.c in libvirt, when fine-grained Access Control Lists (ACL) are in effect, allows local users with storage_vol:create ACL but not domain:write permission to write to arbitrary files via a .. (dot dot) in a volume name.",2.5,LOW,1.4,1.0,Local,High,Low,None,Unchanged,None,Low,None,Path Traversal,1.9,LOW,2.9,3.4,Allows unauthorized modification
CVE-2015-3280,CWE-399,"OpenStack Compute (nova) before 2014.2.4 (juno) and 2015.1.x before 2015.1.2 (kilo) does not properly delete instances from compute nodes, which allows remote authenticated users to cause a denial of service (disk consumption) by deleting instances while in the resize state.",,,,,,,,,,None,,,Resource Management Errors,6.8,MEDIUM,6.9,8.0,Allows disruption of service
CVE-2015-3238,CWE-200,"The _unix_run_helper_binary function in the pam_unix module in Linux-PAM (aka pam) before 1.2.1, when unable to directly access passwords, allows local users to enumerate usernames or cause a denial of service (hang) via a large password.",6.5,MEDIUM,2.5,3.9,Network,Low,None,None,Unchanged,Partial,None,Low,Information Leak / Disclosure,5.8,MEDIUM,4.9,8.6,Allows unauthorized disclosure of information. Allows disruption of service
CVE-2015-3197,CWE-310,"ssl/s2_srvr.c in OpenSSL 1.0.1 before 1.0.1r and 1.0.2 before 1.0.2f does not prevent use of disabled ciphers, which makes it easier for man-in-the-middle attackers to defeat cryptographic protection mechanisms by performing computations on SSLv2 traffic, related to the get_client_master_key and get_client_hello functions.",5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,Partial,None,None,Information Leak / Disclosure,4.3,MEDIUM,2.9,8.6,Allows unauthorized disclosure of information
CVE-2015-1897,CWE-119,"Stack-based buffer overflow in the FastBackMount process in IBM Tivoli Storage Manager FastBack 6.1 before 6.1.11.1 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-1898.",,,,,,,,,,Complete,,,Buffer Errors,7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2015-0794,CWE-59,modules.d/90crypt/module-setup.sh in the dracut package before 037-17.30.1 in openSUSE 13.2 allows local users to have unspecified impact via a symlink attack on /tmp/dracut_block_uuid.map.,,,,,,,,,,Complete,,,Link Following,7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2015-0310,CWE-264,"Adobe Flash Player before 13.0.0.262 and 14.x through 16.x before 16.0.0.287 on Windows and OS X and before 11.2.202.438 on Linux does not properly restrict discovery of memory addresses, which allows attackers to bypass the ASLR protection mechanism on Windows, and have an unspecified impact on other platforms, via unknown vectors, as exploited in the wild in January 2015.",,,,,,,,,,Complete,,,"Permissions, Privileges, and Access Control",10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2015-0301,CWE-20,"Adobe Flash Player before 13.0.0.260 and 14.x through 16.x before 16.0.0.257 on Windows and OS X and before 11.2.202.429 on Linux, Adobe AIR before 16.0.0.245 on Windows and OS X and before 16.0.0.272 on Android, Adobe AIR SDK before 16.0.0.272, and Adobe AIR SDK",,,,,,,,,,Complete,,,Input Validation,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2015-0297,CWE-284,"Red Hat JBoss Operations Network 3.3.1 does not properly restrict access to certain APIs, which allows remote attackers to execute arbitrary Java methods via the (1) ServerInvokerServlet or (2) SchedulerService or (3) cause a denial of service (disk consumption) via the ContentManager.",,,,,,,,,,Partial,,,Improper Access Control,9.0,HIGH,8.5,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2015-0295,CWE-189,"The BMP decoder in QtGui in QT before 5.5 does not properly calculate the masks used to extract the color components, which allows remote attackers to cause a denial of service (divide-by-zero and crash) via a crafted BMP file.",,,,,,,,,,None,,,Numeric Errors,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2015-0293,CWE-20,"The SSLv2 implementation in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a allows remote attackers to cause a denial of service (s2_lib.c assertion failure and daemon exit) via a crafted CLIENT-MASTER-KEY message.",,,,,,,,,,None,,,Input Validation,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2015-0290,CWE-17,"The multi-block feature in the ssl3_write_bytes function in s3_pkt.c in OpenSSL 1.0.2 before 1.0.2a on 64-bit x86 platforms with AES NI support does not properly handle certain non-blocking I/O cases, which allows remote attackers to cause a denial of service (pointer corruption and application crash) via unspecified vectors.",,,,,,,,,,None,,,Code,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2015-0287,CWE-17,"The ASN1_item_ex_d2i function in crypto/asn1/tasn_dec.c in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a does not reinitialize CHOICE and ADB data structures, which might allow attackers to cause a denial of service (invalid write operation and memory corruption) by leveraging an application that relies on ASN.1 structure reuse.",,,,,,,,,,None,,,Code,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2015-0286,CWE-17,"The ASN1_TYPE_cmp function in crypto/asn1/a_type.c in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a does not properly perform boolean-type comparisons, which allows remote attackers to cause a denial of service (invalid read operation and application crash) via a crafted X.509 certificate to an endpoint that uses the certificate-verification feature.",,,,,,,,,,None,,,Code,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2015-0285,CWE-310,"The ssl3_client_hello function in s3_clnt.c in OpenSSL 1.0.2 before 1.0.2a does not ensure that the PRNG is seeded before proceeding with a handshake, which makes it easier for remote attackers to defeat cryptographic protection mechanisms by sniffing the network and then conducting a brute-force attack.",,,,,,,,,,Partial,,,Cryptographic Issues,4.3,MEDIUM,2.9,8.6,Allows unauthorized disclosure of information
CVE-2015-0284,CWE-79,"Cross-site scripting (XSS) vulnerability in spacewalk-java in Spacewalk and Red Hat Satellite 5.7 allows remote authenticated users to inject arbitrary web script or HTML via crafted XML data to the XMLRPC API, involving user details.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2014-7811.",5.4,MEDIUM,2.7,2.3,Network,Low,Low,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),3.5,LOW,2.9,6.8,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2015-0235,CWE-119,"Heap-based buffer overflow in the __nss_hostname_digits_dots function in glibc 2.2, and other 2.x versions before 2.18, allows context-dependent attackers to execute arbitrary code via vectors related to the (1) gethostbyname or (2) gethostbyname2 function, aka ""GHOST.""",,,,,,,,,,Complete,,,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2015-0119,CWE-284,FastBack Mount in IBM Tivoli Storage Manager FastBack 6.1.x before 6.1.11.1 allows remote attackers to execute arbitrary code by connecting to the Mount port.,,,,,,,,,,Partial,,,Improper Access Control,7.5,HIGH,6.4,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2014-8559,CWE-399,"The d_walk function in fs/dcache.c in the Linux kernel through 3.17.2 does not properly maintain the semantics of rename_lock, which allows local users to cause a denial of service (deadlock and system hang) via a crafted application.",,,,,,,,,,None,,,Resource Management Errors,4.9,MEDIUM,6.9,3.9,Allows disruption of service
CVE-2014-4014,CWE-264,"The capabilities implementation in the Linux kernel before 3.14.8 does not properly consider that namespaces are inapplicable to inodes, which allows local users to bypass intended chmod restrictions by first creating a user namespace, as demonstrated by setting the setgid bit on a file with group ownership of root.",,,,,,,,,,Complete,,,"Permissions, Privileges, and Access Control",6.2,MEDIUM,10.0,1.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2013-4635,CWE-189,Integer overflow in the SdnToJewish function in jewish.c in the Calendar component in PHP before 5.3.26 and 5.4.x before 5.4.16 allows context-dependent attackers to cause a denial of service (application hang) via a large argument to the jdtojewish function.,,,,,,,,,,None,,,Numeric Errors,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2012-5452,CWE-79,"Multiple cross-site scripting (XSS) vulnerabilities in Subrion CMS 2.2.1 allow remote attackers to inject arbitrary web script or HTML via the (1) multi_title parameter to blocks/add/; (2) cost, (3) days, or (4) title[en] parameter to plans/add/; (5) name or (6) title[en] parameter to fields/group/add/ in admin/manage/; or (7) f[accounts][fullname] or (8) f[accounts][username] parameter to advsearch/.  NOTE: This might overlap CVE-2011-5211.  NOTE: it was later reported that the f[accounts][fullname] and f[accounts][username] vectors might also affect 2.2.2.",,,,,,,,,,None,,,Cross-Site Scripting (XSS),4.3,MEDIUM,2.9,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2012-1585,CWE-399,OpenStack Compute (Nova) Essex before 2011.3 allows remote authenticated users to cause a denial of service (Nova-API log file and disk consumption) via a long server name.,,,,,,,,,,None,,,Resource Management Errors,4.0,MEDIUM,2.9,8.0,Allows disruption of service
CVE-2011-4517,CWE-119,"The jpc_crg_getparms function in libjasper/jpc/jpc_cs.c in JasPer 1.900.1 uses an incorrect data type during a certain size calculation, which allows remote attackers to trigger a heap-based buffer overflow and execute arbitrary code, or cause a denial of service (heap memory corruption), via a crafted component registration (CRG) marker segment in a JPEG2000 file.",,,,,,,,,,Partial,,,Buffer Errors,6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2011-4516,CWE-119,Heap-based buffer overflow in the jpc_cox_getcompparms function in libjasper/jpc/jpc_cs.c in JasPer 1.900.1 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted numrlvls value in a coding style default (COD) marker segment in a JPEG2000 file.,,,,,,,,,,Partial,,,Buffer Errors,6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2010-1679,CWE-22,Directory traversal vulnerability in dpkg-source in dpkg before 1.14.31 and 1.15.x allows user-assisted remote attackers to modify arbitrary files via directory traversal sequences in a patch for a source-format 3.0 package.,,,,,,,,,,Partial,,,Path Traversal,6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2009-2474,CWE-310,"neon before 0.28.6, when OpenSSL or GnuTLS is used, does not properly handle a '\0' character in a domain name in the subject's Common Name (CN) field of an X.509 certificate, which allows man-in-the-middle attackers to spoof arbitrary SSL servers via a crafted certificate issued by a legitimate Certification Authority, a related issue to CVE-2009-2408.",,,,,,,,,,Partial,,,Cryptographic Issues,6.8,MEDIUM,6.4,8.6,Provides unauthorized access. Allows unauthorized disclosure of information. Allows disruption of service
CVE-2008-2370,CWE-22,"Apache Tomcat 4.1.0 through 4.1.37, 5.5.0 through 5.5.26, and 6.0.0 through 6.0.16, when a RequestDispatcher is used, performs path normalization before removing the query string from the URI, which allows remote attackers to conduct directory traversal attacks and read arbitrary files via a .. (dot dot) in a request parameter.",,,,,,,,,,Partial,,,Path Traversal,5.0,MEDIUM,2.9,10.0,Allows unauthorized disclosure of information
CVE-2008-1362,CWE-264,"VMware Workstation 6.0.x before 6.0.3 and 5.5.x before 5.5.6, VMware Player 2.0.x before 2.0.3 and 1.0.x before 1.0.6, VMware ACE 2.0.x before 2.0.1 and 1.0.x before 1.0.5, and VMware Server 1.0.x before 1.0.5 on Windows allow local users to gain privileges or cause a denial of service by impersonating the authd process through an unspecified use of an ""insecurely created named pipe,"" a different vulnerability than CVE-2008-1361.",,,,,,,,,,Complete,,,"Permissions, Privileges, and Access Control",7.2,HIGH,10.0,3.9,Provides administrator access. Allows unauthorized disclosure of information. Allows disruption of service
CVE-2008-1344,CWE-89,Multiple SQL injection vulnerabilities in MyioSoft EasyCalendar 4.0tr and earlier allow remote attackers to execute arbitrary SQL commands via the (1) year parameter in a dayview action to plugins/calendar/calendar_backend.php and the (2) page parameter to ajaxp_backend.php.,,,,,,,,,,Partial,,,SQL Injection,7.5,HIGH,6.4,10.0,Provides unauthorized access. Allows unauthorized disclosure of information. Allows disruption of service
CVE-2007-4459,CWE-20,"Cisco IP Phone 7940 and 7960 with P0S3-08-6-00 firmware, and other SIP firmware before 8.7(0), allows remote attackers to cause a denial of service (device reboot) via (1) a certain sequence of 10 invalid SIP INVITE and OPTIONS messages; or (2) a certain invalid SIP INVITE message that contains a remote tag, followed by a certain set of two related SIP OPTIONS messages.",,,,,,,,,,None,,,Input Validation,7.1,HIGH,6.9,8.6,Allows disruption of service
CVE-2004-2761,CWE-310,"The MD5 Message-Digest Algorithm is not collision resistant, which makes it easier for context-dependent attackers to conduct spoofing attacks, as demonstrated by attacks on the use of MD5 in the signature algorithm of an X.509 certificate.",,,,,,,,,,None,,,Cryptographic Issues,5.0,MEDIUM,2.9,10.0,Allows unauthorized modification
